tanggal,sumber (url),judul berita,konten,politik,hukum,nasional,jumlah label
2025-06-10,https://news.detik.com/internasional/d-7956572/trump-kirim-lagi-2-000-pasukan-garda-nasional-ke-la-atasi-demo-imigran,Trump Kirim Lagi 2.000 Pasukan Garda Nasional ke LA Atasi Demo Imigran,"Presiden Amerika Serikat (AS), Donald Trump, akan kembali mengirimkan pasukan Garda Nasional ke Los Angeles",1,0,1,3
2025-02-18,https://news.detik.com/berita/d-7784363/tim-hukum-pdip-ngotot-minta-kpk-tunda-periksa-hasto,Tim Hukum PDIP Ngotot Minta KPK Tunda Periksa Hasto,Tim Hukum PDIP meminta KPK menunda pemeriksaan Sekjen PDIP Hasto Kristiyanto,0,0,0,0
2025-05-31,https://news.detik.com/berita/d-7941342/proses-hukum-16-mahasiswa-tersangka-demo-tetap-lanjut-meski-tak-ditahan,Proses Hukum 16 Mahasiswa Tersangka Demo Tetap Lanjut Meski Tak Ditahan,Polda Metro Jaya menangguhkan penahanan 16 mahasiswa tersangka demo ricuh di depan Balai Kota Jakarta,0,1,0,4
2025-07-21,https://news.detik.com/berita/d-8021057/vonis-bui-dan-denda-tom-lembong-meski-disebut-tak-nikmati-duit-korupsi,Vonis Bui dan Denda Tom Lembong Meski Disebut Tak Nikmati Duit Korupsi,"Mantan Menteri Perdagangan Thomas Trikasih Lembong atau Tom Lembong divonis 4,5 tahun penjara dan denda Rp 750 juta dalam kasus korupsi impor gula",1,1,0,6
2024-10-14,https://news.detik.com/pilkada/d-7587161/pramono-temui-pendeta-gkps-saya-tak-mau-bermain-main-politik-agama,Pramono Temui Pendeta GKPS: Saya Tak Mau Bermain-main Politik Agama,"Calon Gubernur DKI Jakarta nomor urut 3 Pramono Anung bertemu para pendeta Gereja Kristen Protestan Simalungun (GKPS) di Kawasan Ampera, Jakarta Selatan",0,0,0,0
2025-06-22,https://news.detik.com/berita/d-7976152/pukat-ugm-singgung-mafia-hukum-terkait-vonis-gazalba-saleh-jadi-10-tahun,Pukat UGM Singgung Mafia Hukum Terkait Vonis Gazalba Saleh Jadi 10 Tahun,Hukuman Hakim Agung nonaktif Gazalba Saleh disunat oleh Mahkamah Agung (MA) dari 12 tahun penjara menjadi 10 tahun penjara,0,1,0,4
2025-01-27,https://news.detik.com/berita/d-7751991/74-7-responden-indikator-nilai-penegakan-hukum-baik-di-era-prabowo,"74,7% Responden Indikator Nilai Penegakan Hukum Baik di Era Prabowo",Indikator Politik Indonesia merilis survei terkait kondisi penegakan hukum selama 100 hari pemerintahan Prabowo Subianto,1,0,1,3
2025-05-27,https://news.detik.com/berita/d-7934748/bamsoet-penegak-hukum-harus-jadi-garda-terdepan-bukan-penghambat,"Bamsoet: Penegak Hukum Harus Jadi Garda Terdepan, Bukan Penghambat",Anggota Komisi III DPR RI sekaligus Wakil Ketua Umum Partai Golkar Bambang Soesatyo menegaskan pentingnya peran institusi penegak hukum dalam mengatasi berbagai persoalan multidimensi yang tengah dihadapi Indonesia,1,0,1,3
2024-08-20,https://news.detik.com/berita/d-7498519/guru-besar-ulm-apresiasi-perempuan-yang-berani-terjun-ke-politik,Guru Besar ULM Apresiasi Perempuan yang Berani Terjun ke Politik,"Guru besar Ilmu Politik Universitas Lambung Mangkurat (ULM) Banjarmasin, Prof Bachruddin Ali Akhmad, mengapresiasi perempuan yang berani terjun ke dunia politik",1,0,0,2
2025-05-17,https://news.detik.com/berita/d-7918152/pkb-soal-peluang-jokowi-jadi-ketum-psi-hak-politik-beliau,PKB soal Peluang Jokowi Jadi Ketum PSI: Hak Politik Beliau,Ketua DPP PKB Daniel Johan merespons soal peluang Presiden ke-7 RI Joko Widodo (Jokowi) menjadi Ketua Umum Partai Solidaritas Indonesia (PSI),1,0,1,3
