tanggal,sumber (url),judul berita,konten
2025-04-24,https://news.detik.com/kolom/d-7883182/kualitas-ketertiban-umum-memburuk-penegak-hukum-wajib-bersikap-tegas,"Kualitas Ketertiban Umum Memburuk, Penegak Hukum Wajib Bersikap Tegas",Premanisme yang terus merajalela akhir-akhir ini lebih sebagai cerita tentang fakta semakin memburuknya kualitas ketertiban umum
2025-01-17,https://news.detik.com/pilkada/d-7737155/jeje-govinda-tepis-tudingan-hengky-kurniawan-soal-politik-uang-di-pilkada,Jeje Govinda Tepis Tudingan Hengky Kurniawan soal Politik Uang di Pilkada,KPU Kabupaten Bandung Barat dan pihak Cabup-Cawabup Bandung Barat nomor urut 2 Jeje Ritchie Ismail (Jeje Govinda)-Asep Ismail membantah dalil permohonan pasangan calon Bupati-Wabup Bandung Barat nomor urut 3 Hengky Kurniawan dan Ade Sudradjat Usman
2024-09-05,https://news.detik.com/berita/d-7526786/pengacara-klaim-alasan-alice-guo-ke-indonesia-ingin-cari-suaka-politik,Pengacara Klaim Alasan Alice Guo ke Indonesia Ingin Cari Suaka Politik,"Mantan Wali Kota Bamban di Filipina yang juga buron kasus pencucian uang, Alice Guo, dideportasi ke negaranya malam ini"
2025-05-21,https://news.detik.com/berita/d-7924924/kejagung-segera-tentukan-status-hukum-bos-sritex,Kejagung Segera Tentukan Status Hukum Bos Sritex,Kejaksaan Agung (Kejagung) mengamankan eks Direktur Utama PT Sritex Iwan Setiawan Lukminto terkait dugaan korupsi pemberian kredit bank kepada PT Sritex
2025-03-22,https://news.detik.com/foto-news/d-7835198/bingkai-sepekan-aksi-tolak-ruu-tni-hingga-timnas-dibantai-australia,Bingkai Sepekan: Aksi Tolak RUU TNI hingga Timnas Dibantai Australia,Jakarta - Isu politik hingga sepakbola jadi perbincangan hangat pekan ini
2025-02-27,https://news.detik.com/berita/d-7799081/kemendes-kemenag-sinergi-dukung-ekonomi-masyarakat-desa-berbasis-keluarga,Kemendes-Kemenag Sinergi Dukung Ekonomi Masyarakat Desa Berbasis Keluarga,Kementerian Desa dan Pembangunan Daerah Tertinggal (Kemendes PDT) bersama Kementerian Agama (Kemenag) berkolaborasi mewujudkan masyarakat desa yang rukun penuh toleransi dan memiliki semangat keberagaman tinggi
2024-12-23,https://news.detik.com/berita/d-7700441/komisi-xi-tekankan-pentingnya-stabilitas-ekonomi-saat-libur-akhir-tahun,Komisi XI Tekankan Pentingnya Stabilitas Ekonomi Saat Libur Akhir Tahun,Anggota Komisi XI DPR RI Charles Meikyansah menekankan pentingnya stabilitas ekonomi selama masa libur akhir tahun
2025-01-21,https://news.detik.com/berita/d-7742733/kuasa-hukum-ronald-tannur-beli-valas-sampai-rp-37-m-pakai-ktp-anak,Kuasa Hukum Ronald Tannur Beli Valas Sampai Rp 37 M Pakai KTP Anak,"Direktur money changer PT Indra Forexindo, Agus Sardjono, mengungkap lebih dari 25 transaksi yang dilakukan kuasa hukum Gregorius Ronald Tannur, Lisa Rachmat"
2025-02-22,https://news.detik.com/foto-news/d-7789707/bingkai-sepekan-hasto-ditahan-kpk-hingga-aksi-indonesia-gelap-menggema,Bingkai Sepekan: Hasto Ditahan KPK hingga Aksi Indonesia Gelap Menggema,"Jakarta - Isu politik masih menjadi perbincangan hangat, mulai dari digantinya Mendiktisaintek, Sekjen PDIP Hasto ditahan KPK hingga aksi Indonesia Gelap"
2025-05-18,https://news.detik.com/berita/d-7919803/fbr-hormati-proses-hukum-oknum-anggota-terlibat-dugaan-pemerasan,FBR Hormati Proses Hukum Oknum Anggota Terlibat Dugaan Pemerasan,Ketua Umum FBR Luthfi Hakim angkat bicara terkait sejumlah anggotanya yang ditangkap polisi di Depok dan Jakarta Selatan (Jaksel) karena kasus dugaan pemerasan
2025-04-26,https://news.detik.com/berita/d-7887514/paloh-ingatkan-elite-politik-jangan-mabuk-kekuasaan-seharusnya-tahu-diri,Paloh Ingatkan Elite Politik Jangan Mabuk Kekuasaan: Seharusnya Tahu Diri,Ketua Umum Partai NasDem Surya Paloh menyinggung para pejabat dan elite politik saat ini untuk tidak mabuk kekuasaan dan mementingkan kepentingan pribadinya saja
2024-08-29,https://news.detik.com/kolom/d-7513273/tantangan-ekonomi-kepemimpinan-prabowo,Tantangan Ekonomi Kepemimpinan Prabowo,Kepemimpinan Presiden Jokowi usai dalam beberapa bulan ke depan
2025-07-25,https://news.detik.com/berita/d-8029184/beri-rp-400-juta-hasto-terbukti-punya-peran-penting-di-kasus-harun-masiku,"Beri Rp 400 Juta, Hasto Terbukti Punya Peran Penting di Kasus Harun Masiku",Majelis hakim menyatakan Sekjen PDIP Hasto Kristiyanto terlibat langsung dalam pengurusan pergantian antarwaktu (PAW) anggota DPR Harun Masiku
2025-02-09,https://news.detik.com/internasional/d-7769656/sanksi-trump-ke-icc-serangan-serius-atas-supremasi-hukum,Sanksi Trump ke ICC Serangan Serius Atas Supremasi Hukum,"Presiden Amerika Serikat (AS) Donald Trump menjatuhkan sanksi kepada Mahkamah Pidana Internasional (ICC) karena melakukan penyelidikan menargetkan AS dan sekutu dekatnya, Israel"
2025-07-21,https://news.detik.com/berita/d-8022256/ma-kurangi-uang-pengganti-emirsyah-satar-dari-rp-1-4-t-jadi-rp-817-m,"MA Kurangi Uang Pengganti Emirsyah Satar dari Rp 1,4 T Jadi Rp 817 M","Mahkamah Agung (MA) menolak kasasi yang diajukan mantan Dirut Garuda Indonesia, Emirsyah Satar, dalam kasus korupsi pengadaan pesawat"
2024-11-08,https://news.detik.com/berita/d-7628335/pesan-prabowo-ke-kabinet-sebelum-ke-ln-bersih-dari-dendam-politik,Pesan Prabowo ke Kabinet Sebelum ke LN: Bersih dari Dendam Politik,Presiden Prabowo Subianto memercayakan pemerintahan ke Wakil Presiden Gibran Rakabuming Raka dan Kabinet Merah Putih selama dia melakukan kunjungan kerja ke luar negeri
